timestamp,hour,day_of_week,month,is_weekday,in_semester,is_event_day,students_present,temperature_C,humidity_pct,appliances_on,floor_util_pct,hvac_load,solar_gen_kwh,energy_kwh
2023-05-10 09:00:00,9,2,5,1,0,0,0.0,34.45,36.7,14.0,19.0,4.86,1.32,21.159
2021-01-18 20:00:00,20,0,1,1,1,0,163.0,11.83,60.6,20.0,36.5,4.06,0.0,34.804
2021-08-11 09:00:00,9,2,8,1,1,0,605.0,31.33,69.3,50.0,71.6,3.6,1.58,47.582
2023-07-31 00:00:00,0,0,7,1,0,0,31.0,23.04,82.3,11.0,22.5,1.0,0.0,19.554
2022-09-24 21:00:00,21,5,9,0,1,0,60.0,15.83,78.9,12.0,33.1,3.06,0.0,22.798
2021-12-31 06:00:00,6,4,12,1,0,0,2.0,12.38,49.5,12.0,,3.53,0.0,17.569
2022-07-03 20:00:00,20,6,7,0,0,0,67.0,27.88,74.5,18.0,22.5,2.2,0.0,19.096
2021-04-28 22:00:00,22,2,4,1,1,0,86.0,20.33,39.4,10.0,35.7,0.56,0.0,20.846
2023-02-06 03:00:00,3,0,2,1,1,0,153.0,10.82,44.8,15.0,20.9,4.15,0.0,26.568
2022-10-24 02:00:00,2,0,10,1,1,1,165.0,11.52,50.0,13.0,27.6,4.18,0.0,28.742
2021-08-21 21:00:00,21,5,8,0,1,0,42.0,24.93,77.8,15.0,15.5,1.97,0.0,24.019
2022-08-05 13:00:00,13,4,8,1,1,0,533.0,36.09,80.8,,62.9,4.89,4.3,42.733
2023-12-15 15:00:00,15,4,12,1,0,0,0.0,15.46,62.0,10.0,21.6,2.89,2.34,18.077
2023-03-16 21:00:00,21,3,3,1,1,0,110.0,18.59,48.1,18.0,24.1,1.98,0.0,20.315
2021-09-27 04:00:00,4,0,9,1,1,0,183.0,17.14,68.7,18.0,40.6,2.28,0.0,28.018
2022-12-31 09:00:00,9,5,12,0,0,0,81.0,18.37,50.1,13.0,23.9,2.09,2.3,18.084
2021-11-18 18:00:00,18,3,11,1,1,0,585.0,13.7,38.4,50.0,64.7,2.97,0.23,45.278
2023-03-24 11:00:00,11,4,3,1,1,0,576.0,30.67,47.1,53.0,67.5,3.43,3.06,47.577
2023-12-28 05:00:00,5,3,12,1,0,0,67.0,10.13,51.2,14.0,19.7,4.05,0.0,19.992
2022-10-09 14:00:00,14,6,10,0,1,0,106.0,24.95,46.1,13.0,28.7,1.39,2.6,14.138
2021-05-31 09:00:00,9,0,5,1,0,0,0.0,35.02,48.2,12.0,18.6,5.27,0.95,21.947
2021-03-17 04:00:00,4,2,3,1,1,0,162.0,15.61,68.0,21.0,32.5,2.85,0.0,26.449
2023-09-05 23:00:00,23,1,9,1,1,0,214.0,20.99,82.7,27.0,42.9,0.98,0.0,33.056
2021-03-01 11:00:00,11,0,3,1,1,0,617.0,22.77,64.2,47.0,68.6,0.74,2.89,44.187
2023-06-03 19:00:00,19,5,6,0,0,0,42.0,27.58,48.2,10.0,22.4,2.44,0.0,19.823
2021-04-08 18:00:00,18,3,4,1,1,0,590.0,24.33,38.0,50.0,69.9,1.56,0.0,47.345
2022-06-13 17:00:00,17,0,6,1,0,0,39.0,33.34,49.3,18.0,26.1,4.37,1.24,22.995
2021-11-23 18:00:00,18,1,11,1,1,0,632.0,14.03,56.8,48.0,65.2,3.52,0.05,46.752
2022-05-17 12:00:00,12,1,5,1,0,0,95.0,35.92,64.5,15.0,28.4,5.05,2.08,29.893
2021-03-05 00:00:00,0,4,3,1,1,0,124.0,12.21,54.3,14.0,25.6,3.53,0.0,23.636
2023-09-14 04:00:00,4,3,9,1,1,0,182.0,20.95,71.1,16.0,34.9,1.18,0.0,24.252
2022-03-21 14:00:00,14,0,3,1,1,0,561.0,28.37,51.6,44.0,66.5,2.97,2.61,38.851
2023-02-14 09:00:00,9,1,2,1,1,0,658.0,18.9,63.2,50.0,70.8,1.84,2.21,50.04
2023-01-29 06:00:00,6,6,1,0,1,0,156.0,13.32,47.7,16.0,33.5,2.98,0.0,20.469
2021-04-28 11:00:00,11,2,4,1,1,0,544.0,30.99,48.1,45.0,62.9,3.59,1.72,42.93
2022-12-01 20:00:00,20,3,12,1,0,0,5.0,8.0,62.3,6.0,17.7,4.95,0.0,22.497
2021-08-18 20:00:00,20,2,8,1,1,0,224.0,25.06,79.7,24.0,32.1,1.95,0.0,27.731
2023-11-25 07:00:00,7,5,11,0,1,0,46.0,13.25,38.4,9.0,19.9,3.64,0.0,11.256
2023-10-28 13:00:00,13,5,10,0,1,0,85.0,21.98,54.1,9.0,26.3,0.8,3.03,13.657
2021-09-18 05:00:00,5,5,9,0,1,0,144.0,21.45,76.5,14.0,33.2,0.35,0.0,19.197
2021-06-07 16:00:00,16,0,6,1,0,0,51.0,35.44,53.3,16.0,24.1,4.74,1.41,26.003
2021-10-21 17:00:00,17,3,10,1,1,0,639.0,16.66,49.4,53.0,73.5,1.85,0.42,47.39
2021-05-15 06:00:00,6,5,5,0,0,0,14.0,32.17,39.4,13.0,15.8,4.22,0.0,18.442
2021-01-20 18:00:00,18,2,1,1,1,0,611.0,15.88,64.1,53.0,67.3,2.2,0.0,48.135
2023-04-06 20:00:00,20,3,4,1,1,1,111.0,20.33,51.2,12.0,23.1,1.28,0.0,27.512
2023-08-04 13:00:00,13,4,8,1,1,0,608.0,35.66,92.1,50.0,65.5,4.93,2.22,55.123
2021-08-26 18:00:00,18,3,8,1,1,0,583.0,27.55,76.5,50.0,72.4,2.72,0.07,50.036
2022-09-28 16:00:00,16,2,9,1,1,0,605.0,24.92,62.4,49.0,66.3,1.82,2.24,41.803
2023-05-10 21:00:00,21,2,5,1,0,0,43.0,27.86,34.4,12.0,25.7,2.11,0.0,18.103
2023-11-15 08:00:00,8,2,11,1,1,0,637.0,12.88,51.9,49.0,66.9,3.29,1.15,52.518
2023-03-14 21:00:00,21,1,3,1,1,0,259.0,16.64,65.7,30.0,43.4,2.44,0.0,33.056
2021-09-19 15:00:00,15,6,9,0,1,0,187.0,26.41,78.3,22.0,35.4,1.91,1.78,23.813
2022-09-30 02:00:00,2,4,9,1,1,0,217.0,13.91,90.9,16.0,41.7,2.99,0.0,20.978
2021-02-21 22:00:00,22,6,2,0,1,0,85.0,12.22,60.3,11.0,31.1,3.69,0.0,19.28
2023-09-12 23:00:00,23,1,9,1,1,0,161.0,15.64,80.9,19.0,29.2,2.7,0.0,24.99
2023-03-31 21:00:00,21,4,3,1,1,0,155.0,20.35,55.5,18.0,29.5,0.64,0.0,33.298
2022-07-25 17:00:00,17,0,7,1,0,0,1.0,33.18,77.8,10.0,17.9,4.48,1.08,26.206
2023-05-17 00:00:00,0,2,5,1,0,0,30.0,25.71,44.7,15.0,11.1,2.19,0.0,22.448
2023-05-16 00:00:00,0,1,5,1,0,0,34.0,23.57,47.3,8.0,21.1,1.06,0.0,18.219
2023-05-30 18:00:00,18,1,5,1,0,0,35.0,29.91,66.1,16.0,16.7,2.98,0.0,17.86
2023-12-04 12:00:00,12,0,12,1,0,0,27.0,20.04,52.4,11.0,21.7,0.86,3.13,15.412
2022-03-29 05:00:00,5,1,3,1,1,0,147.0,21.24,50.7,24.0,28.7,0.33,,25.464
2022-07-01 06:00:00,6,4,7,1,0,0,20.0,33.74,,12.0,27.6,4.63,0.0,27.97
2022-08-18 07:00:00,7,3,8,1,1,0,126.0,30.22,70.1,18.0,41.1,3.1,0.0,31.197
2023-08-12 00:00:00,0,5,8,0,1,0,58.0,22.88,69.7,13.0,23.4,1.04,0.0,18.389
2022-08-22 09:00:00,9,0,8,1,1,0,628.0,31.28,76.5,52.0,79.2,3.47,1.54,54.749
2021-04-29 10:00:00,10,3,4,1,1,0,595.0,35.63,,49.0,69.3,4.95,2.93,54.175
2023-10-25 14:00:00,14,2,10,1,1,0,572.0,19.91,47.6,46.0,63.6,1.44,2.39,41.545
2022-11-25 19:00:00,19,4,11,1,1,0,202.0,13.08,42.8,19.0,39.1,3.53,0.0,30.923
2023-06-23 12:00:00,12,4,6,1,0,0,36.0,37.79,48.7,11.0,31.7,5.97,3.08,26.194
2022-10-05 21:00:00,21,2,10,1,1,0,190.0,16.9,45.9,20.0,43.3,2.47,0.0,27.361
2022-11-19 15:00:00,15,5,11,0,1,0,54.0,16.2,71.6,14.0,29.5,2.63,3.6,13.506
2023-10-21 09:00:00,9,5,10,0,1,0,124.0,20.53,51.6,14.0,27.5,0.79,1.85,17.668
2022-01-01 19:00:00,19,5,1,0,1,0,106.0,10.41,40.8,16.0,28.4,4.67,0.0,25.45
2021-11-11 17:00:00,17,3,11,1,1,0,628.0,13.97,50.9,51.0,67.6,2.71,1.13,44.134
2022-07-22 08:00:00,8,4,7,1,0,0,30.0,34.09,69.1,16.0,12.4,4.04,0.15,27.77
2021-03-31 21:00:00,21,2,3,1,1,0,134.0,18.99,54.1,13.0,30.1,1.37,0.0,28.209
2022-07-27 13:00:00,13,2,7,1,0,0,0.0,34.37,70.4,18.0,20.4,4.69,4.18,25.436
2022-01-18 15:00:00,15,1,1,1,1,0,680.0,17.98,45.0,49.0,69.3,2.28,1.89,45.25
2023-03-07 20:00:00,20,1,3,1,1,0,141.0,17.84,43.1,14.0,36.2,1.78,0.0,21.074
2021-12-19 22:00:00,22,6,12,0,0,0,69.0,8.0,51.8,9.0,26.9,4.88,0.0,20.622
2021-10-05 12:00:00,12,1,10,1,1,0,641.0,26.61,49.8,54.0,78.3,2.34,3.43,45.885
2022-07-21 02:00:00,2,3,7,1,0,0,47.0,24.52,86.0,14.0,22.1,1.17,0.0,24.23
2021-04-26 04:00:00,4,0,4,1,1,0,113.0,25.19,43.8,14.0,31.8,1.96,0.0,23.464
2022-12-28 11:00:00,11,2,12,1,0,0,1.0,17.49,46.7,7.0,27.4,2.14,2.53,13.684
2021-01-21 11:00:00,11,3,1,1,1,0,622.0,21.52,55.9,49.0,61.8,0.55,1.73,42.493
2023-06-20 23:00:00,23,1,6,1,0,0,0.0,25.67,61.2,9.0,19.0,2.07,0.0,22.745
2022-11-22 11:00:00,11,1,11,1,1,0,635.0,19.7,57.4,51.0,80.7,1.2,2.19,37.768
2023-05-20 23:00:00,23,5,5,0,0,0,30.0,,37.2,9.0,23.7,,0.0,18.875
2023-01-05 12:00:00,12,3,1,1,1,0,583.0,19.44,40.8,51.0,58.4,0.89,3.29,39.57
2023-06-09 00:00:00,0,4,6,1,0,0,24.0,25.51,67.6,9.0,25.2,1.63,0.0,22.273
2022-07-18 05:00:00,5,0,7,1,0,0,0.0,28.58,82.4,10.0,24.3,2.38,0.0,19.59
2023-09-06 18:00:00,18,2,9,1,1,0,612.0,24.25,75.8,45.0,71.2,1.28,0.48,45.376
2021-01-09 04:00:00,4,5,1,0,1,0,33.0,8.28,65.3,11.0,26.3,4.95,0.0,22.045
2023-08-18 02:00:00,2,4,8,1,1,0,84.0,23.87,84.2,11.0,36.2,0.98,0.0,19.087
2022-06-20 02:00:00,2,0,6,1,0,0,27.0,27.23,63.6,16.0,23.6,2.6,0.0,24.75
2023-10-22 04:00:00,4,6,10,0,1,0,37.0,14.91,51.9,5.0,16.5,3.29,0.0,16.088
2022-07-30 21:00:00,21,5,7,0,0,0,64.0,28.02,79.6,14.0,23.1,2.48,0.0,17.657
2023-08-29 21:00:00,21,1,8,1,1,0,155.0,19.32,81.6,14.0,,1.75,0.0,27.652
2021-08-24 00:00:00,0,1,8,1,1,0,170.0,21.58,79.4,18.0,30.1,0.99,0.0,25.593
2023-05-23 07:00:00,7,1,5,1,0,0,34.0,32.61,47.9,7.0,23.0,4.31,0.0,23.135
2022-07-30 22:00:00,22,5,7,0,0,0,53.0,24.5,76.0,8.0,33.4,1.31,0.0,21.02
2021-12-11 22:00:00,22,5,12,0,0,0,32.0,8.0,40.7,14.0,15.9,4.74,0.0,21.479
2022-12-11 08:00:00,8,6,12,0,0,0,0.0,14.36,49.4,6.0,15.8,3.02,1.42,12.952
2023-08-05 05:00:00,5,5,8,0,1,0,46.0,26.59,70.3,14.0,23.1,2.28,0.0,18.687
2023-06-29 14:00:00,14,3,6,1,0,0,54.0,40.54,56.4,17.0,24.9,6.67,3.63,27.521
2022-03-23 05:00:00,5,2,3,1,1,0,155.0,19.96,60.9,22.0,36.5,1.01,0.0,28.427
2021-10-01 00:00:00,0,4,10,1,1,0,192.0,14.63,54.6,18.0,34.7,3.4,0.0,27.698
2023-12-08 14:00:00,14,4,12,1,0,0,0.0,16.51,36.8,10.0,27.7,1.89,3.03,19.887
2022-05-24 01:00:00,1,1,5,1,0,0,40.0,26.32,46.3,7.0,19.8,2.3,0.0,20.919
2023-04-01 15:00:00,15,5,4,0,1,0,95.0,28.13,43.4,16.0,17.7,2.18,2.24,19.761
